,center_name,total_candidates,high_scorers,state_y,city_y,high_scorers_500,high_scorers_700,Success rate
1,A G PUBLLIC SCHOOL,344,194,KERALA,KOLLAM,18,0,56.395348837209305
2,A M N M MODEL SCHOOL CHETGANJ VARANASI UP,944,555,UTTAR PRADESH,VARANASI,96,0,58.79237288135594
3,A N COLLEGE,1746,1041,BIHAR,PATNA,181,0,59.62199312714777
4,A V K COLLEGE FOR WOMEN,356,207,KARNATAKA,HASSAN,21,0,58.14606741573034
5,A V K PU COLLEGE,374,209,KARNATAKA,HASSAN,32,0,55.88235294117647
6,"A.T.T. HIGH SCHOOL & JUNIOR COLLEGE, MALEGAON",1064,551,MAHARASHTRA,MALEGAON,81,0,51.78571428571429
7,A.V.P COLLEGE OF ARTS AND SCIENCE,700,475,TAMIL NADU,TIRUPPUR,71,1,67.85714285714286
8,AAA INTERNATIONAL SCHOOL,363,126,TAMIL NADU,VIRUDHUNAGAR,9,0,34.710743801652896
9,"AADHARSHILA PUBLIC SCHOOL , JIND",448,291,HARYANA,JIND,47,1,64.95535714285714
10,AADHARSHILA VIDYA MANDIR,387,177,CHHATTISGARH,BILASPUR (CG),6,0,45.73643410852713
11,AADHUNIK PUBLIC SCHOOL,352,209,HIMACHAL PRADESH,KANGRA/PALAMPUR,14,0,59.375
12,AADITYA VIDHYA VIHAR,349,67,MADHYA PRADESH,KHARGONE (WEST NIMAR),1,0,19.197707736389685
13,AATMDEEP VIDYALAYA SIKTAUR GORAKHPUR UP,354,115,UTTAR PRADESH,GORAKHPUR,8,0,32.48587570621469
14,AATREYA ACADEMY,493,250,UTTAR PRADESH,PRATAPGARH,20,0,50.709939148073026
15,ABALONE PUBLIC SCHOOL,440,191,UTTAR PRADESH,LAKHINPUR KHERI,26,0,43.40909090909091
16,"ABASAHEB PARWEKAR COLLEGE,",209,96,MAHARASHTRA,YAVATMAL,8,0,45.933014354066984
17,ABC COLLEGE OF EDUCATION,573,333,BIHAR,PATNA,57,1,58.1151832460733
18,ABDUL AHAD AZAD MEMORIAL DEGREE COLLEGE,755,464,JAMMU AND KASHMIR,SRINAGAR (J AND K),78,0,61.45695364238411
19,ABDUL SALAM RAFI RES SCHOOL,698,433,KERALA,THIRUVANANTHAPURAM,53,0,62.03438395415473
20,ABHAY MEMORIAL TRUST GROUP OF INSTITUTIONS,395,149,UTTAR PRADESH,PRAYAGRAJ,23,1,37.721518987341774
21,ABHAYSINHRAJE BHOSALE INSTITUTE OF TECHNOLOGY (POLYTECHNIC),469,235,MAHARASHTRA,SATARA,25,0,50.10660980810234
23,ABHINAV ENGLISH SCHOOL,472,202,MAHARASHTRA,OSMANABAD,18,0,42.79661016949153
26,ABHYANKAR - KULKARNI JR. COLLEGE RATNAGIRI,394,167,MAHARASHTRA,RATNAGIRI,15,0,42.38578680203046
27,ABS INTERNATIONAL SCHOOL,581,309,UTTAR PRADESH,JAUNPUR,32,1,53.184165232358005
29,ACADEMIC GLOBAL SCHOOL JUNGLE DHUSAR GORAKHPUR,591,356,UTTAR PRADESH,GORAKHPUR,63,1,60.236886632825716
31,ACADEMIC HEIGHTS PUBLIC SCHOOL,679,228,MADHYA PRADESH,SATNA,26,1,33.578792341678934
32,ACADEMIC HEIGHTS PUBLIC SCHOOL,679,228,TELANGANA,MEDCHAL,46,1,33.578792341678934
33,ACADEMIC HEIGHTS PUBLIC SCHOOL,679,235,MADHYA PRADESH,SATNA,26,1,34.609720176730484
34,ACADEMIC HEIGHTS PUBLIC SCHOOL,679,235,TELANGANA,MEDCHAL,46,1,34.609720176730484
35,ACHARIYA BALA SIKSHA MANDIR,680,380,PUDUCHERRY(UT),PUDUCHERRY,57,0,55.88235294117647
36,ACHARIYA SIKSHA MANDIR,816,443,PUDUCHERRY(UT),PUDUCHERRY,66,0,54.2892156862745
37,ACHARYA SHRI SUDARSHAN PATNA CENTRAL SCHOOL,929,526,BIHAR,PATNA,90,0,56.6200215285253
40,ADAMAS WORLD SCHOOL BARRACKPORE RD 24PGS NR WB,530,267,WEST BENGAL,NORTH 24 PARGANAS,36,0,50.37735849056604
41,ADARSH BAJRANG INTER COLLEGE,687,384,UTTAR PRADESH,BANDA,50,0,55.895196506550214
43,ADARSH SANSKAR VIDYALAYA,798,457,MAHARASHTRA,NAGPUR,71,2,57.26817042606517
44,ADARSH VIDHYALAYA TILAK NAGAR NANDED,380,213,MAHARASHTRA,NANDED,44,1,56.05263157894736
45,ADARSH VIDYALAYA,906,378,CHHATTISGARH,RAIPUR,24,0,41.72185430463576
46,ADARSH VIDYALAYA DAHALAPARA RUPSI,249,46,ASSAM,BARPETA,3,0,18.473895582329316
47,ADARSH VIDYALAYA MANDIA,276,125,ASSAM,BARPETA,16,0,45.289855072463766
48,"ADARSHA INTERNATIONAL SCHOOL, ANGUL",376,174,ODISHA,ANGUL,20,0,46.27659574468085
49,ADARSHABANI TEACHER TRAINING COLLEGE,638,371,WEST BENGAL,MALDA,61,0,58.15047021943573
50,ADAVAITA GURUKUL,262,120,DADRA AND NAGAR HAVELI (UT),SILVASSA,8,0,45.80152671755725
51,ADHIYAMAAN COLLEGE OF ENGINEERING (ENGINEERING & TECH,457,313,TAMIL NADU,KRISHNAGIRI,58,0,68.49015317286651
52,ADHIYAMAN PUBLIC SCHOOL,1403,870,TAMIL NADU,KRISHNAGIRI,175,0,62.00997861724875
53,ADHYAPANA SCHOOL CBSE,612,354,TAMIL NADU,MADURAI,45,0,57.84313725490197
54,ADINATH PUBLIC SCHOOL,499,330,RAJASTHAN,ALWAR,63,1,66.13226452905812
56,ADITYA BIRLA VANI BHARATI SCHOOL,242,117,WEST BENGAL,HOOGHLY,12,0,48.34710743801653
57,"ADITYA DEGREE COLLEGE, ELURU",342,140,ANDHRA PRADESH,ELURU,12,1,40.93567251461988
58,ADITYA ENGINEERING COLLEGE,378,169,MAHARASHTRA,BEED,15,0,44.70899470899471
59,ADITYA PUB SCH JHANGJHA CHUARI CHAURA GORAKHPUR,468,277,UTTAR PRADESH,GORAKHPUR,45,0,59.18803418803419
60,ADITYA VIDYASHRAM RESIDENTIAL SCHOOL,703,368,PUDUCHERRY(UT),PUDUCHERRY,49,0,52.34708392603129
61,ADP COLLEGE,969,448,ASSAM,NAGAON,59,0,46.23323013415892
62,ADSULS TECHNICAL CAMPUS CHAS DIST. AHMEDNAGAR,924,394,MAHARASHTRA,AHMEDNAGAR,50,0,42.64069264069264
63,AES BHAUSAHEB FIRODIYA HIGH SCHOOL,815,357,MAHARASHTRA,AHMEDNAGAR,38,0,43.80368098159509
