,Unnamed: 0,center_name,total_candidates,high_scorers_137,state_y,city_y,high_scorers_500,high_scorers_700,Success rate
22,139,AMARJYOTI SARASWATI INTERNATIONAL SCHOOL KALVIBID,359,311,GUJARAT,BHAVNAGAR,65,0,86.62952646239555
42,1281,ARYAN PG COLLEGE,501,433,RAJASTHAN,SIKAR,162,5,86.42714570858283
44,1287,ASHA ACADEMY,355,302,RAJASTHAN,SIKAR,124,2,85.07042253521126
74,1476,BHARTIYA MAHILA P.G. MAHAVIDYALAYA,500,433,RAJASTHAN,SIKAR,147,3,86.6
76,1489,BHASHYAM(E.M) HIGH SCHOOL,499,440,ANDHRA PRADESH,VIJAYAWADA,119,1,88.17635270541082
99,1851,CHITTURI HIGH SCHOOL,503,430,ANDHRA PRADESH,VIJAYAWADA,124,2,85.48707753479125
108,2037,D.A.V. PUBLIC SHIKSHAN SANSTHAN SR. SEC. SCHOOL,502,432,RAJASTHAN,SIKAR,170,1,86.05577689243027
111,2051,DANTA MAHAVIDHALAYA,425,371,RAJASTHAN,SIKAR,142,2,87.29411764705883
133,26100,"DELHI PUBLIC SCHOOL, REWARI",264,233,HARYANA,REWARI,108,1,88.25757575757575
189,26669,GYANMANJARI INSTITUTE OF TECHNOLOGY BHAVNAGAR,594,530,GUJARAT,BHAVNAGAR,171,1,89.22558922558923
190,26670,GYANMANJARI VIDHYAPITH,357,320,GUJARAT,BHAVNAGAR,77,0,89.6358543417367
238,27482,KENDRIYA VIDYALAYA NO.1 VIJAYAWADA,355,302,ANDHRA PRADESH,VIJAYAWADA,87,1,85.07042253521126
245,27523,KENDRIYA VIDYALAYA SIKAR,474,403,RAJASTHAN,SIKAR,149,1,85.0210970464135
253,27623,KVSR SIDDHARTHA COLLEGE OF PHARMACEUTICAL SCIENCES,402,359,ANDHRA PRADESH,VIJAYAWADA,92,2,89.30348258706468
288,28026,MAHATMA GANDHI INT. SCHOOL,703,605,RAJASTHAN,SIKAR,230,3,86.0597439544808
