,center_number,center_name,total_candidates,state,city,high_scorers_623,high_scorers_700,Success rate
38,120507,VIKAS GROUP OF INSTITUTIONS,614,ANDHRA PRADESH,VIJAYAWADA,42,3,6.840390879478828
40,120509,ANDHRA LOYOLA INSTITUTE OF ENGINEERING AND TECHNOLOGY,572,ANDHRA PRADESH,VIJAYAWADA,37,2,6.468531468531468
121,122801,SREE MULLAPUDI VENKATARAYA MEMORIAL POLYTECHNIC,404,ANDHRA PRADESH,TANUKU,31,1,7.673267326732673
122,122802,SREE RAMA INSTITUTE OF MANAGEMENT ( MBA),214,ANDHRA PRADESH,TANUKU,25,1,11.682242990654206
468,160103,GOVT. MODEL SENIOR SECONDARY SCHOOL,704,CHANDIGARH(UT),CHANDIGARH/MOHALI,48,4,6.8181818181818175
469,160104,SHISHU NIKETAN PUBLIC SCHOOL,481,CHANDIGARH(UT),CHANDIGARH/MOHALI,32,0,6.652806652806653
678,200215,THE INDIAN SCHOOL,283,DELHI,DELHI/NEW DELHI,21,0,7.420494699646643
679,200216,ST PAUL`S SCH SAFDARJUNG DEV AREA HAUZKHAS ND,291,DELHI,DELHI/NEW DELHI,19,2,6.529209621993128
680,200217,BHARATIYA VIDYA BHAVAN''S MEHTA VIDYALAYA,266,DELHI,DELHI/NEW DELHI,20,1,7.518796992481203
682,200219,DELHI PUBLIC SCHOOL VASANT KUNJ,255,DELHI,DELHI/NEW DELHI,18,0,7.0588235294117645
685,200222,NJ SARVODAYA (S.CO.ED.V),257,DELHI,DELHI/NEW DELHI,18,2,7.003891050583658
712,220109,UDGAM SCHOOL FOR CHILDREN,583,GUJARAT,AHMEDABAD,39,2,6.689536878216123
732,220301,GYANMANJARI INSTITUTE OF TECHNOLOGY BHAVNAGAR,594,GUJARAT,BHAVNAGAR,49,1,8.24915824915825
758,220701,UNIT-1 SCHOOL OF ENGINEERING R.K.UNIVERSITY,1968,GUJARAT,RAJKOT,175,9,8.892276422764228
902,230115,DAV POLICE PUBLIC SCHOOL FARIDABAD,232,HARYANA,FARIDABAD,15,2,6.4655172413793105
913,230210,YADUVANSHI SHIKSHA NIKETAN,271,HARYANA,GURUGRAM,30,0,11.07011070110701
921,230403,O P S VIDYA MANDIR KARNAL,351,HARYANA,KARNAL,25,0,7.122507122507122
924,230406,TAGORE BAAL NIKETAN SR SEC SCHOOL,488,HARYANA,KARNAL,38,1,7.786885245901639
930,230506,DAV POLICE PUBLIC SCHOOL,328,HARYANA,BHIWANI,38,1,11.585365853658537
931,230507,DELHI WORLD PUBLIC SCHOOL,397,HARYANA,BHIWANI,54,1,13.602015113350127
944,230613,"MANAGEMENT BUILDING, OM STERLING GLOBAL UNIVERSITY, HISAR",304,HARYANA,HISSAR,36,1,11.842105263157894
